"url","photo","photo_alt","price","address","num_of_bedroom","num_of_bath","type_of_property"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","$1,756/mo","2215 College Ave # 4X2, Manhattan, KS","4 bds","2 ba","Apartment For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","1719 Rockhill Rd # 2, Manhattan, KS","4 bds","2 ba","Townhouse For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","1000 Michael Rd, Manhattan, KS","5 bds","2 ba","House For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","$1,900/mo","931 Fremont St, Manhattan, KS","4 bds","2 ba","Apartment For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","805 Thurston St, Manhattan, KS","6 bds","3 ba","House For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","$1,600/mo","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","1108 N 12th St, Manhattan, KS","4 bds","2 ba","Townhouse For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","$1,595/mo","709 Bertrand St, Manhattan, KS","4 bds","2 ba","House For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","https://photos.zillowstatic.com/p_e/ISq16bya4m4t611000000000.jpg","","$1,500/mo","2028 Green Ave, Manhattan, KS","5 bds","2 ba","House For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","https://photos.zillowstatic.com/p_e/ISqllw8wco835i0000000000.jpg","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","https://photos.zillowstatic.com/p_e/ISmqymksq29w2h1000000000.jpg","","","1649 Fairchild Ave APT 1, Manhattan, KS","6 bds","3 ba","Apartment For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","https://photos.zillowstatic.com/p_e/ISqt7fo8zbxhhy0000000000.jpg","","$1,950/mo","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","https://photos.zillowstatic.com/p_e/ISeovksdrez8ci0000000000.jpg","","","106 S Manhattan Ave # 1, Manhattan, KS","6 bds","2 ba","Apartment For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","https://photos.zillowstatic.com/p_e/ISq5hiaj2rl7k91000000000.jpg","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/39.210850,-96.650923/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r","","","","","","For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","https://photos.zillowstatic.com/p_e/ISus5kjgb3k1eb0000000000.jpg","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","931 Vattier St, Manhattan, KS","5 bds","2 ba","House For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","$1,575/mo","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","1811 Elaine Dr, Manhattan, KS","4 bds","2 ba","House For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","$1,756/mo","2215 College Ave # 4X2, Manhattan, KS","4 bds","2 ba","Apartment For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","1717 Rockhill Rd # 1, Manhattan, KS","4 bds","2 ba","Townhouse For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","1000 Michael Rd, Manhattan, KS","5 bds","2 ba","House For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","$1,900/mo","931 Fremont St, Manhattan, KS","4 bds","2 ba","Apartment For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","805 Thurston St, Manhattan, KS","6 bds","3 ba","House For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","$1,600/mo","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","1108 N 12th St, Manhattan, KS","4 bds","2 ba","Townhouse For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","$1,595/mo","709 Bertrand St, Manhattan, KS","4 bds","2 ba","House For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","https://photos.zillowstatic.com/p_e/ISq16bya4m4t611000000000.jpg","","$1,500/mo","2028 Green Ave, Manhattan, KS","5 bds","2 ba","House For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","https://photos.zillowstatic.com/p_e/ISqllw8wco835i0000000000.jpg","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","https://photos.zillowstatic.com/p_e/ISmqymksq29w2h1000000000.jpg","","","1649 Fairchild Ave APT 1, Manhattan, KS","6 bds","3 ba","Apartment For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","https://photos.zillowstatic.com/p_e/ISqt7fo8zbxhhy0000000000.jpg","","$1,950/mo","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","https://photos.zillowstatic.com/p_e/ISeovksdrez8ci0000000000.jpg","","","106 S Manhattan Ave # 1, Manhattan, KS","6 bds","2 ba","Apartment For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","https://photos.zillowstatic.com/p_e/ISq5hiaj2rl7k91000000000.jpg","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/39.210850,-96.650923/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r","","","","","","For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","https://photos.zillowstatic.com/p_e/ISus5kjgb3k1eb0000000000.jpg","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","931 Vattier St, Manhattan, KS","5 bds","2 ba","House For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","$1,575/mo","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","1811 Elaine Dr, Manhattan, KS","4 bds","2 ba","House For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","$1,756/mo","2215 College Ave # 4X2, Manhattan, KS","4 bds","2 ba","Apartment For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","1719 Rockhill Rd # 2, Manhattan, KS","4 bds","2 ba","Townhouse For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","1000 Michael Rd, Manhattan, KS","5 bds","2 ba","House For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","$1,900/mo","931 Fremont St, Manhattan, KS","4 bds","2 ba","Apartment For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","805 Thurston St, Manhattan, KS","6 bds","3 ba","House For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","$1,600/mo","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","1108 N 12th St, Manhattan, KS","4 bds","2 ba","Townhouse For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","$1,595/mo","709 Bertrand St, Manhattan, KS","4 bds","2 ba","House For Rent"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/house,condo,apartment_duplex,mobile,townhouse_type/53133_rid/396321-792642_price/1500-3000_mp/39.270006,-95.098343,39.11035,-98.042679_rect/9_zm/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","","","","","",""
